file,current_title,current_year,suggested_title_1,suggested_year_1,suggested_medium_1,score_1,suggested_title_2,suggested_year_2,suggested_medium_2,score_2,suggested_title_3,suggested_year_3,suggested_medium_3,score_3,decision
content/oeuvre/printmaking/2016/air-lift/index.md,Air Lift,2016,Airlift,2015,Oil on Gesso Panel,0.93,,,,,,,,,
content/oeuvre/printmaking/2018/teardrop/index.md,Teardrop,2018,Teardrop (Green),,Oil,0.73,,,,,,,,,
content/oeuvre/printmaking/2018/field-theory-ap/index.md,Field Theory AP,2018,Field Theory (red),2015,Oil on Linen,0.84,Field Theory (orange),2016,Oil on Panel,0.82,Field Theory (Pink Lines),2014,Oil on Linen ,0.74,
content/oeuvre/printmaking/2021/butterfly-conundrum/index.md,butterfly conundrum,2021,Butterfly Conundrum,2015,Oil on Gesso Panel,1.00,,,,,,,,,
content/oeuvre/printmaking/2021/lunar-lander/index.md,lunar lander,2021,Lunar Lander,2014,Oil on Handwoven Linen,1.00,,,,,,,,,
content/oeuvre/printmaking/2021/airlift/index.md,airlift,2021,Airlift,2015,Oil on Gesso Panel,1.00,,,,,,,,,
content/oeuvre/printmaking/2023/elephant-mask-intaglio/index.md,Elephant Mask,2023,Elephant Mask,2017,Spraypaint and Acrylic on Panel,1.00,Elephant Mask,2018,Oil on Linen,1.00,,,,,
content/oeuvre/printmaking/2023/crystal-tooth-whale/index.md,Crystal Tooth Whale,2023,Crystal Tooth Whale,2018,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/printmaking/2022/skull/index.md,Skull,2022,Skull,2015,Oil on Panel,1.00,,,,,,,,,
content/oeuvre/printmaking/2022/blue-corn/index.md,Blue Corn,2022,Blue Corn,2016,Oil on Diabond,1.00,Blue Corn,2016,Oil on LInen,1.00,Three Blue Corn,2018,Oil on Canvas,0.75,
content/oeuvre/printmaking/2022/rocket-propelled-clovis-point-intaglio/index.md,Rocket Propelled Clovis Point,2022,Rocket Propelled Clovis Point,2020,Oil on Cotton Canvas,1.00,,,,,,,,,
content/oeuvre/printmaking/2022/space-owl/index.md,Space Owl,2022,Space Shot,2008,Oil on Linen ,0.74,,,,,,,,,
content/oeuvre/painting/2016/approximate-completion/index.md,Approximate Completion,2016,Approximate Completion,,Oil on Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2018/three-blue-corn/index.md,Three Blue Corn,2018,Three Blue Corn,2018,Oil on Canvas,1.00,Blue Corn,2016,Oil on Diabond,0.75,Blue Corn,2016,Oil on LInen,0.75,
content/oeuvre/painting/2018/prickly-pear/index.md,Prickly Pear,2018,Prickly Pear,2018,Oil on Diabond,1.00,,,,,,,,,
content/oeuvre/painting/2018/robot-family/index.md,Robot Family,2018,Robot Family ,2018,"Oil, Oil Stick, Acrylic and Latex on Canvas",1.00,,,,,,,,,
content/oeuvre/painting/2018/seven/index.md,Seven,2018,Seven,2018,Oil on Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2018/thursday/index.md,Thursday,2018,Thursday,2018,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2018/elephant-mask/index.md,Elephant Mask,2018,Elephant Mask,2017,Spraypaint and Acrylic on Panel,1.00,Elephant Mask,2018,Oil on Linen,1.00,,,,,
content/oeuvre/painting/2018/pinned/index.md,Pinned,2018,Pinned,2018,Acylic and Latex on Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2018/crystal-tooth-whale/index.md,Crystal Tooth Whale,2018,Crystal Tooth Whale,2018,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2020/migratory-scavengers/index.md,Migratory Scavengers,2020,Migratory Scavengers,2020,Oil + 24kt gold leaf on ACM panel,1.00,,,,,,,,,
content/oeuvre/painting/2020/solar-ascension/index.md,Solar Ascension,2020,Solar Ascension,2020,Oil on LInen,1.00,,,,,,,,,
content/oeuvre/painting/2020/rocket-propelled-clovis-point/index.md,Rocket Propelled Clovis Point,2020,Rocket Propelled Clovis Point,2020,Oil on Cotton Canvas,1.00,,,,,,,,,
